Date,AAPL,AMZN,GOOGL,META,MSFT
2023-06-15,0.01319352874583035,0.0032242646890172817,0.004953633333748587,0.00036226389899799913,-0.0019022131034053813
2023-06-16,0.013188712500701026,0.0032006297221093376,0.00487688741323658,0.001276001512021594,-0.00206873971083674
2023-06-20,0.013297576064901421,0.003311296356110504,0.004879863777664157,0.0012735407389112274,-0.001775872252291484
2023-06-21,0.013312852558159387,0.003528747033644218,0.005157480190004098,0.001285408660726,-0.0019107267187246264
2023-06-22,0.013272269334960644,0.0031424386872479573,0.0051310390641609825,0.0013832393018098944,-0.001980526225553024
2023-06-23,0.013271246534771975,0.0031030466012989324,0.0052602946895618855,0.0014627489413782703,-0.0019955690203053607
2023-06-26,0.013223896883822566,0.002987050804488054,0.004690815427955349,0.0008549306630573315,-0.0022032418461401526
2023-06-27,0.013270663820053501,0.0029581719709741647,0.005125061339333634,0.0007779932306135814,-0.0021609976898692533
2023-06-28,0.013295665428358335,0.003010582789885752,0.005176596079459542,0.0008240641140675395,-0.0021345646372288238
2023-06-29,0.01349751113343865,0.0032242909536484357,0.005110622068046494,0.0008109656175245145,-0.0020254524344225054
2023-06-30,0.013242816326974785,0.0032037954300274916,0.0051365090946295,0.0007567940904185215,-0.002067306779621688
2023-07-03,0.013282078038063454,0.00322374515259145,0.005449043861286713,0.0008065469920185281,-0.002048576895736301
2023-07-05,0.013253276069036375,0.0032837833458373156,0.005374308238403184,0.0006004622107766179,-0.0020309510495074984
2023-07-06,0.013275323997932237,0.0031844605222715455,0.005252640671930254,0.0005393335052428505,-0.002046326517765939
2023-07-07,0.013358980663060429,0.0035618052227351545,0.005235881362277532,0.0006489611093765148,-0.0020726874626771016
2023-07-10,0.013243266440864604,0.003332140468683003,0.005508019206657545,0.0007299683429368917,-0.001983226923429369
2023-07-11,0.013460579621022569,0.003300721846796674,0.005688940507455276,0.0007491154908356619,-0.0019358326776024205
2023-07-12,0.013505103278510986,0.0035268185893895902,0.0056722247063685435,0.00043686290614585246,-0.0016863547169067572
2023-07-13,0.013540299945342301,0.0036025587009893174,0.004756521073246551,0.0004306101689974355,-0.0017710774519423891
2023-07-14,0.014271802947244477,0.004336059260533334,0.005016298478997653,0.00048143110265911476,-0.0015958956577385823
2023-07-17,0.01412087855112992,0.004271175539321947,0.005038239264767895,0.0004815013841921838,-0.0014722392898749437
2023-07-18,0.014113771977055867,0.004232159947233541,0.005399511044568577,0.0005914249470806883,-0.0021062423110117592
2023-07-19,0.014116828805880511,0.004173903768950316,0.005397801783632309,0.0006145212165575703,-0.0022144809813553663
2023-07-20,0.014013729191216932,0.003463565845350538,0.005097014414458818,-0.00012414259983424547,-0.002541343404105157
2023-07-21,0.01400980839118028,0.003487857414843972,0.005120436845183429,-0.00038624084636380493,-0.0025503543190573304
2023-07-24,0.014119296226205853,0.003719654339944138,0.005070923206748703,-0.0004433335935728269,-0.002541694067643166
2023-07-25,0.014116799002280671,0.003762912097981762,0.00507010438126566,-0.00043854920355605384,-0.0024862811042601005
2023-07-26,0.014225719874131926,0.004312734769502231,0.003936410734451161,-0.0001455388314135636,-0.00295883535134071
2023-07-27,0.014165554619737395,0.004480704502492782,0.003944441945473356,-0.000627955266797986,-0.0008553167954493002
